                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.93216,                0.77236,                  1.315,                0.99635,                      1,                  0.995,                0.92023,                0.31276,                 0.4563,                0.73542,               0.000317,               0.000317,               0.000317
                     87,                0.69839,                0.72727,                 1.0319,                0.99795,                      1,                  0.995,                0.92685,                0.30238,                0.43103,                0.73428,              0.0002972,              0.0002972,              0.0002972
                     88,                0.66601,                0.79094,                  1.068,                0.99795,                      1,                  0.995,                0.92685,                0.30238,                0.43103,                0.73428,              0.0002774,              0.0002774,              0.0002774
                     89,                0.50233,                0.83185,                0.95918,                 0.9984,                      1,                  0.995,                0.93295,                0.30216,                0.42198,                0.73314,              0.0002576,              0.0002576,              0.0002576
                     90,                 0.4844,                0.89691,                0.87549,                0.99874,                      1,                  0.995,                0.94106,                0.30294,                 0.4188,                0.73084,              0.0002378,              0.0002378,              0.0002378
                     91,                 0.3815,                 0.7161,                0.81415,                  0.999,                      1,                  0.995,                0.94841,                 0.3169,                0.43734,                 0.7308,               0.000218,               0.000218,               0.000218
                     92,                0.53592,                  1.264,                0.93263,                  0.999,                      1,                  0.995,                0.94841,                 0.3169,                0.43734,                 0.7308,              0.0001982,              0.0001982,              0.0001982
                     93,                0.52163,                0.83173,                0.90584,                0.99922,                      1,                  0.995,                0.94567,                0.32117,                0.45384,                0.73061,              0.0001784,              0.0001784,              0.0001784
                     94,                 0.4586,                0.73098,                0.87174,                0.99983,                      1,                  0.995,                0.94199,                0.31133,                0.45084,                0.72927,              0.0001586,              0.0001586,              0.0001586
                     95,                0.39303,                0.67629,                0.84999,                      1,                0.99943,                  0.995,                0.93566,                0.30233,                0.46879,                0.72798,              0.0001388,              0.0001388,              0.0001388
                     96,                0.38421,                0.62303,                0.81499,                      1,                0.99943,                  0.995,                0.93566,                0.30233,                0.46879,                0.72798,               0.000119,               0.000119,               0.000119
                     97,                0.49616,                0.67154,                0.86407,                      1,                 0.9995,                  0.995,                0.92734,                0.30322,                0.46219,                0.72779,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.42676,                0.64889,                0.87044,                0.99979,                      1,                  0.995,                0.92966,                0.30159,                0.44125,                0.72657,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.42305,                 0.7047,                0.83739,                0.99946,                      1,                  0.995,                0.93263,                0.28892,                0.44269,                0.72464,               5.96e-05,               5.96e-05,               5.96e-05
